SLUG,BIBLE CITATION,BOOK_EN,CHAPTER,VERSE,URL
1589-alber-eine-summa-etlicher,Matt. 8,matthew,8,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/8/verses/1.json
1589-alber-eine-summa-etlicher,Tit. 18,titus,18,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/titus/chapters/18/verses/1.json
1589-alber-eine-summa-etlicher,Amos 4,amos,4,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/amos/chapters/4/verses/1.json
1589-alber-eine-summa-etlicher,Esa. 8,isaiah,8,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/isaiah/chapters/8/verses/1.json
1589-alber-eine-summa-etlicher,4. Psal,psalms,4,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/4/verses/1.json
1589-alber-eine-summa-etlicher,Ezech: 33,ezekiel,33,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/ezekiel/chapters/33/verses/1.json
1589-alber-eine-summa-etlicher,Mich. am 7,micah,7,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/micah/chapters/7/verses/1.json
1589-alber-eine-summa-etlicher,Rom 8,romans,8,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/romans/chapters/8/verses/1.json
1599-fabricius-christliche-predigt-von,Röm. 11,romans,11,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/romans/chapters/11/verses/1.json
1599-fabricius-christliche-predigt-von,Rom. 11,romans,11,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/romans/chapters/11/verses/1.json
1599-fabricius-christliche-predigt-von,der 45. Psalm,psalms,45,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/45/verses/1.json
1599-fabricius-christliche-predigt-von,Matth. 16,matthew,16,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/16/verses/1.json
1599-fabricius-christliche-predigt-von,Act. 4,acts,4,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/acts/chapters/4/verses/1.json
1599-fabricius-christliche-predigt-von,1. Cor.3,1corinthians,3,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1corinthians/chapters/3/verses/1.json
1599-fabricius-christliche-predigt-von,Luc. 1,luke,1,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/luke/chapters/1/verses/1.json
1599-fabricius-christliche-predigt-von,Psalm 50,psalms,50,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/50/verses/1.json
1599-fabricius-christliche-predigt-von,Matth. 28,matthew,28,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/28/verses/1.json
1599-fabricius-christliche-predigt-von,1. Petri. 5,1peter,5,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1peter/chapters/5/verses/1.json
1599-fabricius-christliche-predigt-von,Joh. 10,john,10,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/john/chapters/10/verses/1.json
1599-fabricius-christliche-predigt-von,dem 121. Psalm,psalms,121,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/121/verses/1.json
1599-fabricius-christliche-predigt-von,1. Samuel. 2,1samuel,2,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1samuel/chapters/2/verses/1.json
1599-fabricius-christliche-predigt-von,6. Capitel Matth,matthew,6,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/6/verses/1.json
1599-fabricius-christliche-predigt-von,Psal.7,psalms,7,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/7/verses/1.json
1599-fabricius-christliche-predigt-von,Matth. 10,matthew,10,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/10/verses/1.json
1599-fabricius-christliche-predigt-von,9. Psal,psalms,9,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/9/verses/1.json
1599-fabricius-christliche-predigt-von,Rom. 10,romans,10,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/romans/chapters/10/verses/1.json
1599-fabricius-christliche-predigt-von,Johan: 17,john,17,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/john/chapters/17/verses/1.json
1599-fabricius-christliche-predigt-von,Philipp. 2,philippians,2,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/philippians/chapters/2/verses/1.json
1599-fabricius-christliche-predigt-von,Phil. 2,philippians,2,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/philippians/chapters/2/verses/1.json
1599-fabricius-christliche-predigt-von,Ezech. 16,ezekiel,16,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/ezekiel/chapters/16/verses/1.json
1613-schilling-vier-predigten-von,Psal. 34,psalms,34,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/34/verses/1.json
1613-schilling-vier-predigten-von,1. Sam. 12,1samuel,12,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1samuel/chapters/12/verses/1.json
1613-schilling-vier-predigten-von,Apoc 6,revelation,6,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/revelation/chapters/6/verses/1.json
1613-schilling-vier-predigten-von,Apoc.6,revelation,6,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/revelation/chapters/6/verses/1.json
1613-schilling-vier-predigten-von,1. Thess. 9,1thessalonians,9,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1thessalonians/chapters/9/verses/1.json
1613-schilling-vier-predigten-von,Thren 8,lamentations,8,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/lamentations/chapters/8/verses/1.json
1613-schilling-vier-predigten-von,91. Psalmen,psalms,91,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/91/verses/1.json
1613-schilling-vier-predigten-von,Esa. 56,isaiah,56,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/isaiah/chapters/56/verses/1.json
1613-schilling-vier-predigten-von,Psal. 30,psalms,30,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/30/verses/1.json
1613-schilling-vier-predigten-von,Esa. 38,isaiah,38,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/isaiah/chapters/38/verses/1.json
1613-schilling-vier-predigten-von,Heb.10,hebrews,10,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/hebrews/chapters/10/verses/1.json
1613-schilling-vier-predigten-von,Col. 3,colossians,3,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/colossians/chapters/3/verses/1.json
1613-schilling-vier-predigten-von,Psal. 84,psalms,84,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/84/verses/1.json
1613-schilling-vier-predigten-von,Psal. 27,psalms,27,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/27/verses/1.json
1613-schilling-vier-predigten-von,2. Petr.L,2peter,50,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/2peter/chapters/50/verses/1.json
